,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,pensais,thought
5,5,demande,request
6,6,genre,kind
7,7,mois,month
8,8,frère,brother
9,9,laisser,let
10,11,mettre,to put
11,12,aucun,no
12,13,laisse,leash
13,14,eux,them
14,15,ville,city
15,16,chaque,each
16,17,parlé,speak
17,18,arrivé,come
18,19,bébé,baby
19,20,longtemps,long time
20,21,heures,hours
21,22,vont,will
22,23,pendant,while
23,24,revoir,meet again
24,25,aucune,any
25,26,place,square
26,27,parle,speak
27,29,savais,knew
28,30,étaient,were
29,31,attention,Warning
30,32,voici,here is
31,33,pourrais,could
32,34,affaire,case
33,35,donner,give
34,36,type,type
35,37,leurs,their
36,39,train,train
37,40,corps,body
38,41,endroit,place
39,42,yeux,eyes
40,43,façon,way
41,44,écoute,listen
42,45,dont,whose
43,46,trouve,find
44,47,premier,first
45,48,perdu,lost
46,49,main,hand
47,50,côté,side
48,51,pouvoir,power
49,52,vieux,old
50,53,sois,be
51,54,tiens,here
52,55,matin,morning
53,56,tellement,so much
54,57,enfant,child
55,58,point,point
56,59,venu,came
57,60,suite,after
58,62,venez,come
59,63,devant,in front of
60,64,vers,towards
61,65,minutes,minutes
62,66,demandé,request
63,67,chambre,bedroom
64,68,mis,placed
65,70,droit,law
66,71,aimerais,would like to
67,72,mari,husband
68,73,cause,cause
69,74,enfin,finally
70,75,espère,hope
71,76,eau,water
72,77,attendez,Wait
73,78,parti,left
74,79,nouvelle,new
75,80,boulot,job
76,81,arrêter,Stop
77,82,terre,Earth
78,83,compte,account
79,84,donne,given
80,85,fin,end
81,86,chérie,sweetheart
82,87,gros,large
83,88,plutôt,rather
84,89,aura,will have
85,90,filles,girls
86,91,jouer,to play
87,92,bureau,office
